UniqueKey,Date,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,Winner,HomeOdds,AwayOdds,DrawOdds
14/12/16West HamBurnley,14/12/16,West Ham,Burnley,60.48,54.41,0.521,0.2248,0.2541,1.74,1.11,1,0,West Ham,1.67,5.75,4
17/12/16Crystal PalaceChelsea,17/12/16,Crystal Palace,Chelsea,59.3,86.27,0.1037,0.7218,0.1745,1.04,2.28,0,1,Chelsea,6.5,1.57,4.2
17/12/16MiddlesbroughSwansea,17/12/16,Middlesbrough,Swansea,53.26,57.55,0.436,0.2815,0.2825,1.4,1.12,3,0,Middlesbrough,2.1,4,3.4
17/12/16StokeLeicester,17/12/16,Stoke,Leicester,61.26,63.64,0.4287,0.2884,0.2829,1.39,1.13,2,2,Draw,2.6,2.9,3.4
17/12/16SunderlandWatford,17/12/16,Sunderland,Watford,49.82,59.87,0.3806,0.3425,0.2769,1.37,1.35,1,0,Sunderland,2.63,2.9,3.3
17/12/16West BromMan United,17/12/16,West Brom,Man United,62.74,79.64,0.2434,0.4799,0.2767,1.02,1.46,0,2,Man United,5.75,1.7,3.8
17/12/16West HamHull,17/12/16,West Ham,Hull,60.78,43.51,0.6003,0.1633,0.2364,1.9,0.88,1,0,West Ham,1.62,6,4.1
18/12/16BournemouthSouthampton,18/12/16,Bournemouth,Southampton,62.01,69.32,0.3714,0.3446,0.284,1.3,1.29,1,3,Southampton,3,2.6,3.3
18/12/16Man CityArsenal,18/12/16,Man City,Arsenal,85.1,84.33,0.4823,0.2837,0.234,1.92,1.49,2,1,Man City,2.15,3.5,3.6
18/12/16TottenhamBurnley,18/12/16,Tottenham,Burnley,78.01,54.1,0.7138,0.0882,0.198,2.04,0.59,2,1,Tottenham,1.22,15,7
19/12/16EvertonLiverpool,19/12/16,Everton,Liverpool,67.04,83.07,0.2254,0.5437,0.2309,1.33,1.88,0,1,Liverpool,4.2,1.95,3.6
26/12/16ArsenalWest Brom,26/12/16,Arsenal,West Brom,83.88,61.69,0.7397,0.0887,0.1716,2.39,0.65,1,0,Arsenal,1.33,8.5,5.5
26/12/16BurnleyMiddlesbrough,26/12/16,Burnley,Middlesbrough,55.14,54.62,0.4254,0.2733,0.3013,1.23,0.95,1,0,Burnley,2.9,2.6,3.1
26/12/16ChelseaBournemouth,26/12/16,Chelsea,Bournemouth,86.26,60.71,0.7867,0.0625,0.1508,2.54,0.53,3,0,Chelsea,1.36,8.5,5
26/12/16HullMan City,26/12/16,Hull,Man City,43.77,85.43,0.0528,0.8176,0.1296,0.79,2.47,0,3,Man City,10,1.3,5.5
26/12/16LeicesterEverton,26/12/16,Leicester,Everton,63.54,65.91,0.439,0.291,0.27,1.5,1.26,0,2,Everton,2.5,2.9,3.3
26/12/16Man UnitedSunderland,26/12/16,Man United,Sunderland,80.36,50.44,0.7464,0.0693,0.1842,2.19,0.38,3,1,Man United,1.22,13,6.5
26/12/16SwanseaWest Ham,26/12/16,Swansea,West Ham,56.09,60.53,0.4211,0.3226,0.2563,1.67,1.53,1,4,West Ham,2.63,2.8,3.2
26/12/16WatfordCrystal Palace,26/12/16,Watford,Crystal Palace,59.24,59.06,0.4597,0.2826,0.2577,1.7,1.33,1,1,Draw,2.5,2.9,3.3
27/12/16LiverpoolStoke,27/12/16,Liverpool,Stoke,83.73,61.42,0.7354,0.0897,0.1749,2.36,0.63,4,1,Liverpool,1.3,10,5.5
28/12/16SouthamptonTottenham,28/12/16,Southampton,Tottenham,70.49,77.23,0.3688,0.3326,0.2986,1.19,1.14,1,4,Tottenham,2.8,2.6,3.25
30/12/16HullEverton,30/12/16,Hull,Everton,42.97,67.22,0.2472,0.4747,0.2781,0.96,1.52,2,2,Draw,4.33,1.95,3.5
31/12/16BurnleySunderland,31/12/16,Burnley,Sunderland,55.3,50.51,0.4777,0.2429,0.2795,1.45,1,4,1,Burnley,2.4,3.3,3.25
31/12/16ChelseaStoke,31/12/16,Chelsea,Stoke,86.47,60.92,0.7734,0.0593,0.1674,2.25,0.39,4,2,Chelsea,1.25,14,6.5
